INFO:root:Receiving GPS data
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
INFO:root:no satellite data available
